mnemonic,op1,op2,op3,op4,iext,tested f,modif f,def f,undef f,f values,"description, notes"
ADD,r/m8,r8,,,,,o..szapc,o..szapc,,,Add
ADD,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Add
ADD,r8,r/m8,,,,,o..szapc,o..szapc,,,Add
ADD,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Add
ADD,AL,imm8,,,,,o..szapc,o..szapc,,,Add
ADD,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Add
PUSH,ES,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,ES,,,,,,,,,,Pop a Value from the Stack
OR,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
OR,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
OR,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
OR,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
OR,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
OR,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical Inclusive OR
PUSH,CS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
Two-byte Instructions,,,,,,,,,,,
ADC,r/m8,r8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
ADC,r/m16/32,r16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
ADC,r8,r/m8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
ADC,r16/32,r/m16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
ADC,AL,imm8,,,,.......c,o..szapc,o..szapc,,,Add with Carry
ADC,eAX,imm16/32,,,,.......c,o..szapc,o..szapc,,,Add with Carry
PUSH,SS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,SS,,,,,,,,,,Pop a Value from the Stack
SBB,r/m8,r8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
SBB,r/m16/32,r16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
SBB,r8,r/m8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
SBB,r16/32,r/m16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
SBB,AL,imm8,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
SBB,eAX,imm16/32,,,,.......c,o..szapc,o..szapc,,,Integer Subtraction with Borrow
PUSH,DS,,,,,,,,,,"Push Word, Doubleword or Quadword Onto the Stack"
POP,DS,,,,,,,,,,Pop a Value from the Stack
AND,r/m8,r8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
AND,r/m16/32,r16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
AND,r8,r/m8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
AND,r16/32,r/m16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
AND,AL,imm8,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
AND,eAX,imm16/32,,,,,o..szapc,o..sz.pc,.....a..,o......c,Logical AND
ES,ES,,,,,,,,,,ES segment override prefix
DAA,AL,,,,,.....a.c,o..szapc,...szapc,o.......,,Decimal Adjust AL after Addition
SUB,r/m8,r8,,,,,o..szapc,o..szapc,,,Subtract
SUB,r/m16/32,r16/32,,,,,o..szapc,o..szapc,,,Subtract
SUB,r8,r/m8,,,,,o..szapc,o..szapc,,,Subtract
SUB,r16/32,r/m16/32,,,,,o..szapc,o..szapc,,,Subtract
SUB,AL,imm8,,,,,o..szapc,o..szapc,,,Subtract
SUB,eAX,imm16/32,,,,,o..szapc,o..szapc,,,Subtract
CS,CS,,,,,,,,,,CS segment override prefix
